scholarship_id,scholarship_name,provider,provider_type,source,official_source_url,application_url,country_of_provider,study_country,eligible_nationalities,education_level,study_mode,field_of_study,age_min,age_max,academic_requirement,minimum_percentage_or_gpa,family_income_limit,gender_eligibility,category_eligibility,disability_eligibility,residency_requirement,scholarship_amount,currency,funding_type,tuition_coverage,living_expense_coverage,travel_coverage,accommodation_coverage,application_fee,application_deadline,scholarship_duration,number_of_awards,documents_required,eligibility_criteria,selection_criteria,description,renewable,last_verified
SCH_0417,International Scholarship for Excellence,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/14/International_Scholarship_for_Excellence,https://www.iefa.org/scholarships/14/International_Scholarship_for_Excellence,Australia,Australia,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Australia; Fields: Unrestricted.,"Merit, essay response, and academic verification.",This scholarship is offered to the 10 highest-achieving international students studying Australian Year 12 or International Baccalaureate in Australia. If...,Not specified,2026-09-16
SCH_0418,Digital Transformation Award,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3485/Digital_Transformation_Award,https://www.iefa.org/scholarships/3485/Digital_Transformation_Award,International,International,Unrestricted,Any,Full-time,"Architecture & Design, Business/Management, Cultural Studies...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Unrestricted; Fields: Architecture & Design, Business/Management, Cultural Studies....","Merit, essay response, and academic verification.","8th GIORGIO ROTA Best Paper Award - Researchers born after December 31st, 1985 are invited to participate by submitting high-quality...",Not specified,2026-09-16
SCH_0419,KTH India Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3478/KTH_India_Scholarship,https://www.iefa.org/scholarships/3478/KTH_India_Scholarship,Sweden,Sweden,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Sweden; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The KTH India Scholarship Foundation was established in 2012 through a donation made by an anonymous donor and awards two...,Not specified,2026-09-16
SCH_0420,KTH Joint Programme Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3480/KTH_Joint_Programme_Scholarship,https://www.iefa.org/scholarships/3480/KTH_Joint_Programme_Scholarship,Sweden,Sweden,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Sweden; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The KTH Joint Programme Scholarship is available for students participating in a joint programme and covers the tuition fee for...,Not specified,2026-09-16
SCH_0421,KTH One-Year Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3479/KTH_One-Year_Scholarship,https://www.iefa.org/scholarships/3479/KTH_One-Year_Scholarship,Sweden,Sweden,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Sweden; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The KTH One-Year Scholarship covers the tuition fee of the second year of studies at KTH. It is awarded to...,Not specified,2026-09-16
SCH_0422,Hope for Healing,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3481/Hope_for_Healing_,https://www.iefa.org/scholarships/3481/Hope_for_Healing_,USA,USA,Unrestricted,Postgraduate,Full-time,"Health Professions, Psychology, Medicine and Science",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: United States; Fields: Health Professions, Psychology, Medicine and Science.","Merit, essay response, and academic verification.","A $5,000 scholarship to one qualified, college-level applicant enrolled in an undergraduate program of study ...",Not specified,2026-09-16
SCH_0423,Minerva Speech and Debate Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3476/Minerva_Speech_and_Debate_Scholarship,https://www.iefa.org/scholarships/3476/Minerva_Speech_and_Debate_Scholarship,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","In support of lifelong learners and global problem solvers, Minerva is offering a $10,000 scholarship to an admitted speech and...",Not specified,2026-09-16
SCH_0424,Milano Fashion Institute Scholarships,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2637/Milano_Fashion_Institute_Scholarships,https://www.iefa.org/scholarships/2637/Milano_Fashion_Institute_Scholarships,Italy,Italy,Unrestricted,Postgraduate,Full-time,Fashion,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,EUR,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Italy; Fields: Fashion.,"Merit, essay response, and academic verification.",Milano Fashion Institute provides several scholarships (7.800€ each) which cover the half of the Master's fee (15.600€). You can find...,Not specified,2026-09-16
SCH_0425,WUIC EXCELLENCE TUITION FEE WAIVER SCHOLARSHIPS FOR UNDERGRADUATE STUDENTS,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3475/WUIC_EXCELLENCE_TUITION_FEE_WAIVER_SCHOLARSHIPS_FOR_UNDERGRADUATE_STUDENTS,https://www.iefa.org/scholarships/3475/WUIC_EXCELLENCE_TUITION_FEE_WAIVER_SCHOLARSHIPS_FOR_UNDERGRADUATE_STUDENTS,Thailand,Thailand,Unrestricted,Postgraduate,Full-time,"Business/Management, Computer & Information Systems, Law & Legal Studies...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Thailand; Fields: Business/Management, Computer & Information Systems, Law & Legal Studies....","Merit, essay response, and academic verification.","Study on a scholarship in Thailand, beginning August 2020! WUIC EXCELLENCE TUITION FEE WAIVER SCHOLARSHIPS FOR UNDERGRADUATE STUDENTS Looking to study on...",Not specified,2026-09-16
SCH_0426,Reach Cambridge Scholarship Essay Competition,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3454/Reach_Cambridge_Scholarship_Essay_Competition,https://www.iefa.org/scholarships/3454/Reach_Cambridge_Scholarship_Essay_Competition,International,International,Unrestricted,Undergraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The Reach Cambridge scholarship essay competition is designed for academically excellent high school students aged between 15 and 17 who...,Not specified,2026-09-16
SCH_0427,PhD Positions in Analog/RF/Microwave/Mixed-Signal IC Design & Microelectronics,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3240/PhD_Positions_in_Analog_RF_Microwave_Mixed-Signal_IC_Design_&_Microelectronics_,https://www.iefa.org/scholarships/3240/PhD_Positions_in_Analog_RF_Microwave_Mixed-Signal_IC_Design_&_Microelectronics_,Turkey,Turkey,Unrestricted,Any,Full-time,Engineering,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Turkey; Fields: Engineering.,"Merit, essay response, and academic verification.",Analog & RF Labs of Özyegin University in Istanbul is actively looking for qualified researchers in the broad field of...,Not specified,2026-09-16
SCH_0428,Direct Textbook Photo Essay Contest,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3474/Direct_Textbook_Photo_Essay_Contest,https://www.iefa.org/scholarships/3474/Direct_Textbook_Photo_Essay_Contest,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Direct Textbook Photo Essay Contest Award amounts: Two $500 Scholarships: Photos selected by Direct Textbook Two $500 Scholarships: Photos with the most...,Not specified,2026-09-16
SCH_0429,Business and Enterprenuership Summer Course Scholarship Award in UK,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3473/Business_and_Enterprenuership_Summer_Course_Scholarship_Award_in_UK,https://www.iefa.org/scholarships/3473/Business_and_Enterprenuership_Summer_Course_Scholarship_Award_in_UK,United Kingdom,United Kingdom,Unrestricted,Any,Full-time,Business/Management,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,GBP,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United Kingdom; Fields: Business/Management.,"Merit, essay response, and academic verification.","Business and Entrepreneurship Summer Course Scholarship Award in London and Cambridge University UK This Scholarship is for Business , Marketing and...",Not specified,2026-09-16
SCH_0430,A.Y 2020 Contest- 10 Scholarships Master Product and Fashion Design,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3472/A.Y_2020_Contest-_10_Scholarships_Master_Product_and_Fashion_Design_,https://www.iefa.org/scholarships/3472/A.Y_2020_Contest-_10_Scholarships_Master_Product_and_Fashion_Design_,Italy,Italy,Unrestricted,Any,Full-time,Architecture & Design and Fashion,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Italy; Fields: Architecture & Design and Fashion.,"Merit, essay response, and academic verification.","Raffles Milano Istituto Moda e Design, one of the most exclusive fashion and design schools in the world, located in...",Not specified,2026-09-16
SCH_0431,Law Firm Marketing Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3471/Law_Firm_Marketing_Scholarship,https://www.iefa.org/scholarships/3471/Law_Firm_Marketing_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Welcome to the OptimizeMyFirm Law Firm Marketing Scholarship. We are proud to be offering the scholarship to students with...,Not specified,2026-09-16
SCH_0432,Women in Business Equal Pay,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3466/Women_in_Business_Equal_Pay,https://www.iefa.org/scholarships/3466/Women_in_Business_Equal_Pay,"Afghanistan, Albania, Algeria...","Afghanistan, Albania, Algeria...",Unrestricted,Any,Full-time,"Business/Management, Computer & Information Systems, Marketing and Economics",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Female,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Afghanistan, Albania, Algeria...; Fields: Business/Management, Computer & Information Systems, Marketing and Economics.","Merit, essay response, and academic verification.","Equal Pay Day is when women symbolically start to work for free. Women are 51% of the world's population, so...",Not specified,2026-09-16
SCH_0433,LSEF-UMass Scholarship,UMass Amherst,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3465/LSEF-UMass_Scholarship,https://www.iefa.org/scholarships/3465/LSEF-UMass_Scholarship,International,International,Unrestricted,Postgraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",LSEF-UMass Scholarships for Post-Graduate Studies is offered to selected Indian candidates for pursuing master’s programs from UMass Amherst. Scholarships offered...,Not specified,2026-09-16
SCH_0434,Single Mother Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3464/Single_Mother_Scholarship,https://www.iefa.org/scholarships/3464/Single_Mother_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Rosenfeld Injury Lawyers wants to expand opportunities for single mothers who are going back to school by offering two $1,000...",Not specified,2026-09-16
SCH_0435,Multicultural Scholarship: The Dream is Inclusive,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3457/Multicultural_Scholarship:_The_Dream_is_Inclusive_,https://www.iefa.org/scholarships/3457/Multicultural_Scholarship:_The_Dream_is_Inclusive_,International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.",On Q Financial’s Mission is to simplify the mortgage process to make the dream of home ownership a reality for...,Not specified,2026-09-16
SCH_0436,Mental Health Education Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3448/Mental_Health_Education_Scholarship,https://www.iefa.org/scholarships/3448/Mental_Health_Education_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",The Beach Cottage at Seasons in Malibu: Luxury Mental Health Treatment is pleased to announce the details of our annual...,Not specified,2026-09-16
SCH_0437,Addiction Awareness Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3447/Addiction_Awareness_Scholarship,https://www.iefa.org/scholarships/3447/Addiction_Awareness_Scholarship,USA,USA,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Unrestricted.,"Merit, essay response, and academic verification.",Seasons in Malibu: Luxury Rehab for Drug & Alcohol Abuse is pleased to announce the details of our annual “Addiction...,Not specified,2026-09-16
SCH_0438,Central Valley Community Scholarship Program - Maison Law,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3440/Central_Valley_Community_Scholarship_Program_-_Maison_Law_,https://www.iefa.org/scholarships/3440/Central_Valley_Community_Scholarship_Program_-_Maison_Law_,USA,USA,Unrestricted,Undergraduate,Full-time,Law & Legal Studies,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Law & Legal Studies.,"Merit, essay response, and academic verification.",The Maison Law Central Valley Community Scholarship is available to high school seniors who reside in the central valley (and...,Not specified,2026-09-16
SCH_0439,Aspiring Attorney Scholarship - by Steers and Associates,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3446/Aspiring_Attorney_Scholarship_-_by_Steers_and_Associates,https://www.iefa.org/scholarships/3446/Aspiring_Attorney_Scholarship_-_by_Steers_and_Associates,USA,USA,Unrestricted,Any,Full-time,Law & Legal Studies,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Law & Legal Studies.,"Merit, essay response, and academic verification.","This $1,000 scholarship is available to students pursuing or planning on pursuing a career in law. Eligibility: In order to be eligible...",Not specified,2026-09-16
SCH_0440,MENTAL HEALTH: TEEN CHANGEMAKERS ESSAY CONTEST,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3441/MENTAL_HEALTH:_TEEN_CHANGEMAKERS_ESSAY_CONTEST,https://www.iefa.org/scholarships/3441/MENTAL_HEALTH:_TEEN_CHANGEMAKERS_ESSAY_CONTEST,International,International,Unrestricted,Undergraduate,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","The International Bipolar Foundation Annual High School Essay Contest is open to all high school students, ages 13 to 19....",Not specified,2026-09-16
SCH_0441,Courtroom Crew Student Scholarship (Law),International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3442/Courtroom_Crew_Student_Scholarship_(Law),https://www.iefa.org/scholarships/3442/Courtroom_Crew_Student_Scholarship_(Law),USA,USA,Unrestricted,Any,Full-time,Law & Legal Studies,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: United States; Fields: Law & Legal Studies.,"Merit, essay response, and academic verification.",Dordulian Law Group is pleased to announce the details of our annual “Courtroom Crew Trial Attorney Student Scholarship.” Law...,Not specified,2026-09-16
SCH_0442,Tocris Bioscience Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3439/Tocris_Bioscience_Scholarship_Program,https://www.iefa.org/scholarships/3439/Tocris_Bioscience_Scholarship_Program,"Andorra, Austria, Belarus...","Andorra, Austria, Belarus...",Unrestricted,Any,Full-time,"Biology/Life Sciences, Health Professions, Psychology...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Andorra, Austria, Belarus...; Fields: Biology/Life Sciences, Health Professions, Psychology....","Merit, essay response, and academic verification.",Tocris is proud to support students who plan to pursue a science related degree. The Tocris Scholarship Program has been...,Not specified,2026-09-16
SCH_0443,Science Scholarship by R&D Systems,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3438/Science_Scholarship_by_R&D_Systems,https://www.iefa.org/scholarships/3438/Science_Scholarship_by_R&D_Systems,International,International,Unrestricted,Any,Full-time,"Biology/Life Sciences, Health Professions, Psychology...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Unrestricted; Fields: Biology/Life Sciences, Health Professions, Psychology....","Merit, essay response, and academic verification.",R&D Systems is proud to support education in science with a scholarship program established to students who are pursuing a...,Not specified,2026-09-16
SCH_0444,Novus Biologicals Scholarship Program,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3437/Novus_Biologicals_Scholarship_Program,https://www.iefa.org/scholarships/3437/Novus_Biologicals_Scholarship_Program,"Andorra, Austria, Belarus...","Andorra, Austria, Belarus...",Unrestricted,Any,Full-time,"Biology/Life Sciences, Health Professions, Psychology...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Andorra, Austria, Belarus...; Fields: Biology/Life Sciences, Health Professions, Psychology....","Merit, essay response, and academic verification.",Research is a critical component for the development and advancement in the life science community. We want to further scientific...,Not specified,2026-09-16
SCH_0445,"Interior Design $2,000 Scholarship Program",International Organization / Foundation,Organization / Foundation,IEFA,"https://www.iefa.org/scholarships/3429/Interior_Design_$2,000_Scholarship_Program","https://www.iefa.org/scholarships/3429/Interior_Design_$2,000_Scholarship_Program",International,International,Unrestricted,Any,Full-time,Unrestricted,Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay",Nationalities: Unrestricted; Host country: Unrestricted; Fields: Unrestricted.,"Merit, essay response, and academic verification.","Scholarship introduction: Our scholarship fund aims to help students get the education and profession of their dreams, so we are offering...",Not specified,2026-09-16
SCH_0446,Full and Partial Tuition Fee Waiver Scholarships,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/3428/Full_and_Partial_Tuition_Fee_Waiver_Scholarships,https://www.iefa.org/scholarships/3428/Full_and_Partial_Tuition_Fee_Waiver_Scholarships,Thailand,Thailand,Unrestricted,Postgraduate,Full-time,"Computer & Information Systems, Law & Legal Studies, Transportation/Logistics and Accounting",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: Thailand; Fields: Computer & Information Systems, Law & Legal Studies, Transportation/Logistics and Accounting.","Merit, essay response, and academic verification.","Study on a scholarship in Thailand, beginning January! TUITION FEE WAIVER SCHOLARSHIPS FOR UNDERGRADUATE STUDENTS Looking to study on a scholarship in...",Not specified,2026-09-16
SCH_0447,Central/South American Scholarship,International Organization / Foundation,Organization / Foundation,IEFA,https://www.iefa.org/scholarships/2961/Central_South_American_Scholarship,https://www.iefa.org/scholarships/2961/Central_South_American_Scholarship,USA,USA,Unrestricted,Any,Full-time,"Architecture & Design, Biology/Life Sciences, Business/Management...",Not specified,Not specified,Enrolled or accepted in eligible accredited institution,Good academic standing,Not specified,Any,General,Equal Opportunity,International student or foreign national,Varies by award,USD,Partial,Partial,Not specified,Not specified,Not specified,Free,Varies (See official site),Annual / Semester award,Multiple,"Academic transcript, Proof of enrollment, Recommendation letter, Essay","Nationalities: Unrestricted; Host country: United States; Fields: Architecture & Design, Biology/Life Sciences, Business/Management....","Merit, essay response, and academic verification.",Any student that is applying to UIW from within their home country in the regions of Central and South American...,Not specified,2026-09-16
